State,Year,taxRate,incentive,evregister,totalregister,avgIncome,popDensity
Alabama,2021,26,1,"4,750","2,057,940",56929,
Alaska,2021,8,1,"1,290","138,729",81133,
Arizona,2021,18,1,"40,740","2,225,380",70821,
Arkansas,2021,24.8,1,"2,390","940,535",50784,
California,2021,51,1,"563,070","14,027,931",81575,
Colorado,2021,24,1,"37,000","1,479,975",84954,
Connecticut,2021,25,1,"13,350","1,118,807",80958,
Deleware,2021,23,1,"3,010","175,867",68687,
District of Columbia,2021,24,1,"3,700","186,465",90640,
Florida,2021,38,1,"95,640","7,752,292",59734,
Georgia,2021,29,1,"34,020","3,475,456",61497,
Hawaii,2021,16,1,"14,220","456,261",82199,
Idaho,2021,33,1,"3,500","568,864",76918,
Illinois,2021,40,1,"36,520","4,112,710",79253,
Indiana,2021,33,1,"10,360","2,062,916",70190,
Iowa,2021,31,1,"3,660","1,119,070",72429,
Kansas,2021,24,0,"4,500","853,291",75979,
Kentucky,2021,25,0,"4,220","1,537,391",55629,
Lousiana,2021,20,1,"3,180","1,246,843",57206,
Maine,2021,30,1,"3,040",414456.5544,71139,
Maryland,2021,36,1,"25,630","2,048,469",97332,
Massachusets,2021,24,1,"30,470","1,961,842",86566,
Michigan,2021,26,1,"17,460","2,857,124",64488,
Minnesota,2021,28.5,1,"15,000","1,724,915",80441,
Mississippi,2021,18,1,"1,310","891,658",46637,
Missouri,2021,20,1,"10,050","1,915,254",63594,
Montana,2021,33,1,"1,650","463,104",64999,
Nebraska,2021,28.6,1,"2,710","594,827",78109,
Nevada,2021,24,1,"17,380","1,051,246",64340,
New Hampshire,2021,24,1,"4,000","454,868",88841,
New Jersey,2021,37,1,"47,830","2,511,428",88559,
New Mexico,2021,17,1,"4,150","600,487",53463,
New York,2021,25,1,"51,870","3,099,312",72920,
North Carolina,2021,36,1,"25,190","3,235,757",62891,
North Dakota,2021,23,0,380,"208,033",68882,
Ohio,2021,39,1,"21,200","4,047,391",62689,
Oklahoma,2021,20,1,"7,180","1,051,337",60096,
Oregon,2021,36,1,"30,290","1,338,818",81855,
Pennsylvania,2021,58,1,"26,770","3,874,368",72627,
Rhode Island,2021,35,1,"2,550","333,565",74982,
South Carolina,2021,26,1,"7,440","1,781,727",62542,
South Dakota,2021,30,1,680,"311,336",73893,
Tennessee,2021,26,1,"12,160","2,305,722",62166,
Texas,2021,20,1,"80,900","7,672,313",67404,
Utah,2021,0,1,"16,480","974,215",87649,
Vermont,2021,30,1,"3,370","177,239",76079,
Virginia,2021,26,1,"30,660","2,937,556",80268,
Washington,2021,49.4,1,"66,810","2,895,251",87648,
West Virginia,2021,35.7,1,"1,010","352,938",46836,
Wisconsin,2021,30.9,1,"9,330","1,791,851",69943,
Wyoming,2021,24,1,510,"186,214",71052,
